camera_id,timestamp,car_count,truck_count,bus_count,motorcycle_count,road_area_pixels,vectors_chao_score,congestion_score
587ee2aeb807da0011e33d52,2025-11-27 08:08:09,2,0,0,16,40435,"0,5605387658","0,3196390435"
587ee2aeb807da0011e33d52,2025-11-27 08:08:27,1,0,0,10,41795,"0,266637653","0,2930485787"
587ee2aeb807da0011e33d52,2025-11-27 08:08:46,4,0,0,23,40484,"0,4215731655","0,3186810047"
587ee2aeb807da0011e33d52,2025-11-27 08:09:05,8,0,0,11,35482,"0,3758735334","0,4164791698"
587ee2aeb807da0011e33d52,2025-11-27 08:09:23,3,0,0,11,29633,"0,2343019614","0,53083772"
587ee2aeb807da0011e33d52,2025-11-27 08:09:41,4,0,0,4,42110,"0,3475123767","0,2868897579"
587ee2aeb807da0011e33d52,2025-11-27 08:10:00,4,0,0,14,33540,"0,4344408368","0,4544487893"
587ee2aeb807da0011e33d52,2025-11-27 08:10:19,6,0,0,11,35741,"0,3736769159","0,4114152504"
587ee2aeb807da0011e33d52,2025-11-27 08:10:39,4,0,0,8,43152,"0,4844780614","0,2665167694"
587ee2aeb807da0011e33d52,2025-11-27 08:10:59,7,0,0,4,37117,"0,3641898958","0,3845119567"
587ee2aeb807da0011e33d52,2025-11-27 08:11:17,2,0,0,8,42500,"0,2795775488","0,2792645511"
587ee2aeb807da0011e33d52,2025-11-27 08:11:35,5,0,0,19,42469,"0,4292487635","0,2798706572"
587ee2aeb807da0011e33d52,2025-11-27 08:11:55,1,0,0,16,30672,"0,4588554402","0,510523387"
587ee2aeb807da0011e33d52,2025-11-27 08:12:16,4,0,0,15,38600,"0,3948417128","0,355516619"
587ee2aeb807da0011e33d52,2025-11-27 08:12:34,4,0,0,17,35029,"0,5265550398","0,4253361408"
587ee2aeb807da0011e33d52,2025-11-27 08:12:52,2,0,0,14,40091,"0,4860084204","0,3263648669"
587ee2aeb807da0011e33d52,2025-11-27 08:13:12,2,0,0,14,38434,"0,3202355293","0,3587622199"
